pid	sid	vcf_id
P00001	S90070	JHU_TSS_953_2688_1
P00002	S85455	UW_EPIC_258
P00003	S75914	JHU_TSS_837_2466_1
P00004	S72617	JHU_TSS_807_2405_1
P00005	S52736	UW_EPIC_2315
P00006	S53431	JHU_TSS_1016_2806_1
P00007	S86510	JHU_TSS_1016_2805_1
P00008	S11091	UW_EPIC_260
P00009	S21332	UW_EPIC_1552
P10029	S25797	UW_EPIC_217
P10034	S46909	UW_EPIC_35080
P10036	S25108	JHU_TSS_735_2263_1
P10061	S74540	JHU_TSS_533_1897_1
P10077	S44556	UW_EPIC_3582
P10079	S10697	UNC_MOD0135
P10088	S10974	UW_EPIC_36390
P10128	S88777	UNC_MOD2430
P10173	S79750	UW_EPIC_3449
P10263	S68945	UW_EPIC_4191
P10286	S53858	JHU_TSS_167_1224_1
P10314	S21890	UNC_MOD1535
P10321	S45571	UNC_MOD1709
P10332	S24873	UW_EPIC_2776
P10369	S80382	UW_EPIC_111
P10380	S10914	UNC_MOD2585
P10389	S40721	JHU_TSS_614_2050_1
P10394	S37521	JHU_TSS_453_1746_1
P10402	S40901	UNC_MOD0534
P10430	S59718	JHU_TSS_414_1667_1
P10461	S54895	JHU_TSS_498_1828_1
P10487	S49432	UNC_MOD1625
P10497	S84243	JHU_TSS_257_1429_1
P10527	S56937	UNC_MOD0137
P10528	S90985	UNC_MOD1090
P10543	S43629	UNC_MOD2307
P10558	S19748	JHU_TSS_901_2587_1
P10586	S77814	UNC_MOD2697
P10587	S89924	JHU_TSS_1037_2881_1
P10622	S85257	JHU_TSS_448_1737_1
P10638	S70169	JHU_TSS_593_2006_1
P10642	S51412	UW_EPIC_1510
P10671	S61942	JHU_TSS_537_1903_1
P10688	S28020	JHU_TSS_983_2743_1
P10716	S87729	JHU_TSS_1023_2839_1
P10724	S34938	UNC_CFLD1536
P10732	S73728	JHU_TSS_201_1274_1
P10742	S57929	JHU_CFRD_146_10186_1
P10771	S75851	JHU_TSS_175_1340_1
P10780	S40201	JHU_CFRD_219_10273_1
P10784	S32500	UNC_MOD0021
P10788	S50318	JHU_TSS_555_1935_1
P10795	S51478	UNC_MOD0350
P10815	S74450	UW_EPIC_2040_2
P10839	S88313	UW_EPIC_434
P10849	S50813	JHU_TSS_98_1116_1
P10868	S92707	JHU_TSS_766_2328_1
P10907	S75363	UNC_MOD2237
P10918	S92624	JHU_TSS_977_2732_1
P10923	S47510	JHU_TSS_233_1335_1
