JHU_TSS_333_1522_1	S67972
JHU_TSS_332_1520_1	S97333
UNC_MOD2314	S94644
JHU_TSS_1016_2806_1	S53431
JHU_TSS_1016_2805_1	S86510
JHU_TSS_837_2466_1	S75914
JHU_TSS_852_2492_1	S37704
UW_EPIC_258	S85455
UW_EPIC_260	S11091
JHU_TSS_807_2405_1	S72617
JHU_TSS_953_2688_1	S90070
UW_EPIC_1552	S21332
UW_EPIC_2315	S52736
UNC_MOD1702	S40285
JHU_TSS_753_2309_1	S25821
JHU_TSS_786_2370_1	S62681
UW_EPIC_217	S25797
UW_EPIC_35080	S46909
JHU_TSS_735_2263_1	S25108
JHU_TSS_533_1897_1	S74540
UW_EPIC_3582	S44556
UNC_MOD0135	S10697
UW_EPIC_36390	S10974
UNC_MOD2430	S88777
UW_EPIC_3449	S79750
UW_EPIC_4191	S68945
JHU_TSS_167_1224_1	S53858
UNC_MOD1535	S21890
UNC_MOD1709	S45571
UW_EPIC_2776	S24873
UW_EPIC_111	S80382
UNC_MOD2585	S10914
JHU_TSS_614_2050_1	S40721
JHU_TSS_453_1746_1	S37521
UNC_MOD0534	S40901
JHU_TSS_414_1667_1	S59718
JHU_TSS_498_1828_1	S54895
UNC_MOD1625	S49432
JHU_TSS_257_1429_1	S84243
UNC_MOD0137	S56937
UNC_MOD1090	S90985
UNC_MOD2307	S43629
JHU_TSS_901_2587_1	S19748
UNC_MOD2697	S77814
JHU_TSS_1037_2881_1	S89924
JHU_TSS_448_1737_1	S85257
JHU_TSS_593_2006_1	S70169
UW_EPIC_1510	S51412
JHU_TSS_537_1903_1	S61942
JHU_TSS_983_2743_1	S28020
JHU_TSS_1023_2839_1	S87729
UNC_CFLD1536	S34938
JHU_TSS_201_1274_1	S73728
JHU_CFRD_146_10186_1	S57929
JHU_TSS_175_1340_1	S75851
JHU_CFRD_219_10273_1	S40201
UNC_MOD0021	S32500
JHU_TSS_555_1935_1	S50318
UNC_MOD0350	S51478
UW_EPIC_2040_2	S74450
UW_EPIC_434	S88313
JHU_TSS_98_1116_1	S50813
JHU_TSS_766_2328_1	S92707
UNC_MOD2237	S75363
JHU_TSS_977_2732_1	S92624
JHU_TSS_233_1335_1	S47510
UW_EPIC_35183	S95963
JHU_TSS_213_124_1	S84918
UNC_MOD0026	S97382
UNC_MOD0373	S44996
UNC_MOD1561	S45704
UNC_MOD0684	S72341
UW_EPIC_3589	S30518
UNC_CFLD3078	S69833
JHU_TSS_855_2583_1	S85070
UNC_MOD1260	S38210
UNC_MOD2644	S75898
JHU_TSS_634_2082_1	S51850
JHU_TSS_280_1413_1	S38820
UW_EPIC_4178	S29245
UNC_MOD0676	S73680
UNC_MOD0292	S29610
UW_EPIC_3591	S89438
JHU_TSS_725_2298_1	S79534
UNC_MOD1071	S13221
UW_EPIC_1581	S67580
UNC_MOD2096	S86525
UW_EPIC_1652_1	S60086
UW_EPIC_2235	S61733
JHU_TSS_940_2659_1	S45762
UW_EPIC_353	S53110
UNC_MOD2574	S36006
UNC_MOD0602	S31451
JHU_TSS_896_2577_1	S35091
UW_EPIC_199	S24267
UNC_MOD2317	S74296
JHU_TSS_291_1439_1	S65348
UNC_MOD1230	S46219
JHU_TSS_85_1092_1	S35525
JHU_TSS_252_142_1	S91354
UNC_MOD0968	S38176
UNC_MOD1779	S94701
UW_EPIC_1719	S37781
UNC_MOD0585	S93254
UW_EPIC_443	S32262
UW_EPIC_6537	S37049
UNC_MOD1707	S93698
JHU_TSS_35_1008_1	S30853
UW_EPIC_15516	S21386
UNC_MOD1715	S73990
JHU_TSS_998_2772_1	S55703
UW_EPIC_211	S53252
JHU_TSS_787_2371_1	S14614
JHU_BL_05_1	S43109
JHU_TSS_1011_2795_1	S38235
UNC_MOD1055	S94307
UW_EPIC_35239	S92499
UNC_MOD0648	S77292
JHU_TSS_720_2236_1	S42024
UW_EPIC_348	S63995
UW_EPIC_9326	S33662
UNC_MOD0677	S81384
UW_EPIC_427	S90083
UW_EPIC_761	S63003
UW_EPIC_1965	S22688
JHU_TSS_26_50_1	S18565
UNC_MOD0197	S11844
JHU_TSS_686_2173_1	S55993
UNC_MOD2355	S43542
JHU_TSS_235_1339_1	S18209
JHU_TSS_558_1942_1	S54579
UW_EPIC_2666	S13012
UNC_MOD2362	S24899
JHU_TSS_881_2550_1	S79054
JHU_TSS_888_2561_1	S34363
JHU_TSS_947_2675_1	S58188
JHU_CFRD_297_10356_1	S62613
JHU_TSS_677_2158_1	S23965
JHU_TSS_852_2493_1	S47102
JHU_TSS_881_2549_1	S59993
UNC_MOD1766	S68136
UW_EPIC_4976	S70262
UNC_MOD0551	S23752
JHU_TSS_887_2558_1	S54307
UW_EPIC_254	S12691
UNC_MOD2626	S16985
JHU_CFRD_210_10264_1	S72575
UW_EPIC_1493	S38288
JHU_TSS_346_162_1	S87097
UNC_MOD0318	S70802
UNC_MOD0443	S86392
JHU_TSS_972_2722_1	S68129
UNC_CFLD9915	S57462
UNC_MOD0306	S18892
JHU_TSS_194_1260_1	S65223
JHU_TSS_818_2428_1	S68141
UW_EPIC_3307	S60300
UNC_MOD2402	S21265
JHU_TSS_1013_2801_1	S50157
UNC_MOD0360	S93266
JHU_TSS_328_1511_1	S39068
JHU_TSS_799_2393_1	S64789
UW_EPIC_357	S86192
UNC_MOD0432	S42230
UW_EPIC_2231	S22007
UW_EPIC_239	S89569
UW_EPIC_2461	S14250
UW_EPIC_2573	S65938
UW_EPIC_9108	S20642
UNC_MOD0159	S95676
JHU_TSS_62_1049_1	S17358
UNC_MOD0217	S84518
UW_EPIC_435	S16202
JHU_TSS_529_1891_1	S58824
UNC_MOD1783	S29703
UW_EPIC_9619	S79892
UW_EPIC_331	S35855
JHU_TSS_604_2029_1	S11616
JHU_TSS_836_228_1	S81829
UW_EPIC_2437	S35496
JHU_TSS_894_2574_1	S55663
UW_EPIC_1534	S79963
UNC_MOD0879	S69594
JHU_TSS_1025_2824_1	S62539
UNC_MOD1132	S52200
UW_EPIC_245	S18175
UW_EPIC_35188	S82480
UNC_MOD2602	S58650
UW_EPIC_3575	S30791
JHU_CFRD_404_10464_1	S98384
UW_EPIC_1842	S60817
UNC_MOD1543	S61025
UW_EPIC_1573	S81789
UNC_MOD2071	S53373
UW_EPIC_1918	S32765
JHU_CFRD_324_10383_1	S22867
UW_EPIC_2013	S68183
JHU_TSS_130_1163_1	S51404
UNC_MOD1050	S83577
JHU_TSS_1036_2854_1	S81863
JHU_TSS_33_1004_1	S77659
JHU_TSS_83_1126_1	S12543
UW_EPIC_222	S42083
UNC_MOD0380	S15160
UW_EPIC_3638	S94070
JHU_TSS_746_2392_1	S85575
JHU_TSS_40_1014_1	S97795
JHU_TSS_246_1353_1	S57513
JHU_TSS_855_2497_1	S40268
JHU_TSS_1030_2837_1	S97389
UNC_MOD0813	S75833
UNC_MOD0400	S38916
UW_EPIC_3259	S88504
UNC_MOD1503	S93629
JHU_TSS_1018_2810_1	S45615
UNC_MOD2337	S31409
JHU_TSS_864_2515_1	S97697
JHU_TSS_572_1966_1	S87184
JHU_TSS_572_1966_2	S29314
UNC_MOD2413	S45071
UW_EPIC_1668	S44025
UW_EPIC_7213	S35456
UNC_MOD1027	S87444
UNC_MOD1759	S59234
JHU_TSS_700_2197_1	S18725
JHU_TSS_297_1451_1	S37681
JHU_CFRD_294_10353_1	S80636
UW_EPIC_2378	S59441
JHU_TSS_721_2238_1	S44673
UNC_MOD1851	S94346
JHU_TSS_631_2130_1	S89103
UW_EPIC_2276	S81702
JHU_TSS_403_1647_1	S79777
JHU_TSS_969_2712_1	S85426
JHU_TSS_500_1831_1	S36207
UNC_MOD1818	S45680
UNC_MOD1225	S19177
UNC_MOD1207	S78890
JHU_CFRD_269_10328_1	S95471
JHU_TSS_907_2594_1	S66927
JHU_TSS_898_2581_1	S25714
JHU_TSS_1_2_1	S35388
UW_EPIC_8528	S51064
UNC_MOD1934	S22732
UW_EPIC_2481	S97012
JHU_TSS_777_2348_1	S11640
UNC_MOD1369	S56799
UNC_MOD0388	S31243
UNC_MOD0834	S46088
UNC_MOD1776	S13662
JHU_TSS_205_1282_1	S47131
UNC_MOD1419	S52066
